report_id,client_id,generated_date,download_date,status,s3_path,next_best_action
RPT-EA729065AC,CL00014,2026-02-26 15:20:05.249723,,complete,reports/CL00014/RPT-EA729065AC.pdf,
RPT-5D75547A4F,CL00031,2026-02-26 15:20:12.169346,,complete,reports/CL00031/RPT-5D75547A4F.pdf,
RPT001,CL00014,2024-01-15 10:30:00,,completed,s3://test-bucket/test.pdf,
RPT001,CL00014,2024-01-15 10:30:00,,completed,s3://test-bucket/test.pdf,
RPT001,CL00014,2024-01-15 10:30:00,,completed,s3://test-bucket/test.pdf,
RPT001,CL00014,2024-01-15 10:30:00,,completed,s3://test-bucket/test.pdf,
RPT-8E2DEC6F6E,CL00031,2026-02-27 03:46:24.539227,,complete,reports/CL00031/RPT-8E2DEC6F6E.pdf,
RPT-E1693BDA64,CL00007,2026-02-27 04:52:18.049059,,complete,reports/CL00007/RPT-E1693BDA64.pdf,
RPT-42AD56D7EA,CL00007,2026-03-02 16:35:45.947586,,complete,reports/CL00007/RPT-42AD56D7EA.pdf,
RPT-6CF23E2D36,CL00001,2026-03-02 20:13:11.872694,,complete,reports/CL00001/RPT-6CF23E2D36.pdf,
RPT-2D5B3DC8AE,CL00002,2026-03-02 20:15:02.648101,,complete,reports/CL00002/RPT-2D5B3DC8AE.pdf,
RPT-0FA89D368B,CL00003,2026-03-02 20:17:04.344919,,complete,reports/CL00003/RPT-0FA89D368B.pdf,
RPT-A0BF966C40,CL00011,2026-03-02 20:18:07.926594,,complete,reports/CL00011/RPT-A0BF966C40.pdf,
RPT-425AB6D868,CL00007,2026-03-02 20:18:45.196773,,complete,reports/CL00007/RPT-425AB6D868.pdf,
RPT-435F41DA9E,CL00006,2026-03-02 20:18:53.190815,,complete,reports/CL00006/RPT-435F41DA9E.pdf,
RPT-915CA3162B,CL00012,2026-03-02 20:18:54.969314,,complete,reports/CL00012/RPT-915CA3162B.pdf,
RPT-2E3E57A74E,CL00010,2026-03-02 20:19:02.054365,,complete,reports/CL00010/RPT-2E3E57A74E.pdf,
RPT-31020E7D89,CL00013,2026-03-02 20:19:06.726411,,complete,reports/CL00013/RPT-31020E7D89.pdf,
RPT-8F05D0D751,CL00004,2026-03-02 20:19:07.588976,,complete,reports/CL00004/RPT-8F05D0D751.pdf,
RPT-3346D0F5D1,CL00009,2026-03-02 20:19:08.201566,,complete,reports/CL00009/RPT-3346D0F5D1.pdf,
RPT-CDAFC77909,CL00005,2026-03-02 20:19:09.117441,,complete,reports/CL00005/RPT-CDAFC77909.pdf,
RPT-BACE3D1797,CL00008,2026-03-02 20:19:32.787826,,complete,reports/CL00008/RPT-BACE3D1797.pdf,
RPT-C8252B82A9,CL00014,2026-03-02 20:19:47.527987,,complete,reports/CL00014/RPT-C8252B82A9.pdf,
RPT-3D104C5EDE,CL00017,2026-03-02 20:20:17.84781,,complete,reports/CL00017/RPT-3D104C5EDE.pdf,
RPT-EA83BA6B9C,CL00016,2026-03-02 20:20:27.110277,,complete,reports/CL00016/RPT-EA83BA6B9C.pdf,
RPT-F682374DDD,CL00015,2026-03-02 20:20:36.46635,,complete,reports/CL00015/RPT-F682374DDD.pdf,
RPT-518251F716,CL00018,2026-03-02 20:20:39.594436,,complete,reports/CL00018/RPT-518251F716.pdf,
RPT-248FE4AC02,CL00019,2026-03-02 20:20:40.878239,,complete,reports/CL00019/RPT-248FE4AC02.pdf,
RPT-568C61EA19,CL00020,2026-03-02 20:20:52.937449,,complete,reports/CL00020/RPT-568C61EA19.pdf,
RPT-39C6575888,CL00021,2026-03-02 20:21:03.263996,,complete,reports/CL00021/RPT-39C6575888.pdf,
RPT-274AA9B1F7,CL00022,2026-03-02 20:21:06.829017,,complete,reports/CL00022/RPT-274AA9B1F7.pdf,
RPT-F47664AFC3,CL00024,2026-03-02 20:21:26.254052,,complete,reports/CL00024/RPT-F47664AFC3.pdf,
RPT-E84D3597BE,CL00023,2026-03-02 20:21:29.041915,,complete,reports/CL00023/RPT-E84D3597BE.pdf,
RPT-6D96F9740A,CL00026,2026-03-02 20:22:03.002188,,complete,reports/CL00026/RPT-6D96F9740A.pdf,
RPT-55712A706F,CL00025,2026-03-02 20:22:06.585845,,complete,reports/CL00025/RPT-55712A706F.pdf,
RPT-3468F3070F,CL00028,2026-03-02 20:22:14.178733,,complete,reports/CL00028/RPT-3468F3070F.pdf,
RPT-04FF01ED2C,CL00027,2026-03-02 20:22:17.627716,,complete,reports/CL00027/RPT-04FF01ED2C.pdf,
